2025-12-04 17:30:40 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:45:57 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_cash_out.parquet (filas=2237500)
2025-12-04 23:45:57 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_debit.parquet (filas=41432)
2025-12-04 23:45:58 | INFO | maintenance | Archivo Bronze generado: data\bronze\paysim_cash_in.parquet (filas=1399284)
2025-12-04 23:45:58 | INFO | maintenance | Generación de parquets por tipo completada.
2025-12-04 23:45:58 | INFO | maintenance | === FIN PREPROCESADO PAYSIM ===
2025-12-04 23:47:23 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:47:31 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:47:31 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:47:31 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:47:40 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:47:40 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:47:40 | INFO | maintenance | Preprocesado inicial completado con éxito.
2025-12-04 23:47:40 | INFO | maintenance | Generando parquets individuales por tipo de transacción...
2025-12-04 23:47:42 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-1\test_preprocess_end_to_end0\bronze\paysim_payment.parquet (filas=2151495)
2025-12-04 23:47:43 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-1\test_preprocess_end_to_end0\bronze\paysim_transfer.parquet (filas=532909)
2025-12-04 23:47:45 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-1\test_preprocess_end_to_end0\bronze\paysim_cash_out.parquet (filas=2237500)
2025-12-04 23:47:45 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-1\test_preprocess_end_to_end0\bronze\paysim_debit.parquet (filas=41432)
2025-12-04 23:47:46 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-1\test_preprocess_end_to_end0\bronze\paysim_cash_in.parquet (filas=1399284)
2025-12-04 23:47:46 | INFO | maintenance | Generación de parquets por tipo completada.
2025-12-04 23:47:51 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:47:51 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:47:51 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 23:47:51 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:47:51 | INFO | maintenance | Preprocesado inicial completado con éxito.
2025-12-04 23:48:28 | INFO | maintenance | Cargando dataset PaySim desde: data\raw\datasets\PaySim1.csv
2025-12-04 23:48:35 | INFO | maintenance | Dataset cargado correctamente. Filas=6362620, Columnas=11
2025-12-04 23:48:35 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:48:35 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:48:45 | INFO | maintenance | Duplicados eliminados: 0
2025-12-04 23:48:45 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:48:45 | INFO | maintenance | Preprocesado inicial completado con éxito.
2025-12-04 23:48:45 | INFO | maintenance | Generando parquets individuales por tipo de transacción...
2025-12-04 23:48:47 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-2\test_preprocess_end_to_end0\bronze\paysim_payment.parquet (filas=2151495)
2025-12-04 23:48:48 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-2\test_preprocess_end_to_end0\bronze\paysim_transfer.parquet (filas=532909)
2025-12-04 23:48:50 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-2\test_preprocess_end_to_end0\bronze\paysim_cash_out.parquet (filas=2237500)
2025-12-04 23:48:50 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-2\test_preprocess_end_to_end0\bronze\paysim_debit.parquet (filas=41432)
2025-12-04 23:48:52 | INFO | maintenance | Archivo Bronze generado: C:\Users\Diazr\AppData\Local\Temp\pytest-of-Diazr\pytest-2\test_preprocess_end_to_end0\bronze\paysim_cash_in.parquet (filas=1399284)
2025-12-04 23:48:52 | INFO | maintenance | Generación de parquets por tipo completada.
2025-12-04 23:48:56 | INFO | maintenance | Iniciando preprocesado inicial de PaySim...
2025-12-04 23:48:56 | INFO | maintenance | Normalizando nombres de columnas...
2025-12-04 23:48:56 | INFO | maintenance | Duplicados eliminados: 1
2025-12-04 23:48:56 | INFO | maintenance | Timestamp generado a partir de columna 'step'.
2025-12-04 23:48:56 | INFO | maintenance | Preprocesado inicial completado con éxito.
